"fish.id","tray","tray.position","sample.mass.mg","c.content.mg","c.content.perc","d13C","n.content.mg","n.content.perc","d15N","c.n","duplicate","X","dissection.date","student.name","species","site","collection.date","weight.g","tl.mm","sl.mm","fl.mm","liver","stomach.contents","note","ground","packaged","ran.on.ea","month","season","month.year","east_vs_west","in_vs_out","distance","shoal.spot"
"ATB001","250410_BOEM_1b","A9",0.77,0.35,45.03,-19.11,0.11,14.2,11.76,3.17,"Y",NA,"8/27/24","Sam","Atlantic Bumper","WO3",24-08-13,"38.5",NA,NA,NA,"Y","N","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB002","250410_BOEM_1b","A11",0.71,0.32,44.97,-17.91,0.1,13.9,12.23,3.23,"",NA,"11/11/24","EG","Atlantic Bumper","EI1",24-05-22,"46","174","131","144","Y","Y","All photos labeled incorrectly as BUN001","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"ATB003","250410_BOEM_1b","A12",0.78,0.35,45.17,-18.47,0.11,13.81,11.51,3.27,"",NA,"11/11/24","EG","Atlantic Bumper","EI1",24-05-22,"53.7","180","138","153","Y","Y","First photo labeled incorrectly as BUN002","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"ATB004","250410_BOEM_1b","B1",0.71,0.32,45.3,-18.33,0.1,14.02,11.76,3.23,"",NA,"11/11/24","EG","Atlantic Bumper","EI1",24-05-22,"42.7","169","127","139","Y","Y","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"ATB005","250410_BOEM_1b","B2",0.71,0.32,44.98,-18.68,0.1,13.91,11.83,3.23,"",NA,"11/11/24","EG","Atlantic Bumper","EI1",24-05-22,"56","185","134","152","Y","Y","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"ATB006","250410_BOEM_1b","B5",0.66,0.29,44.37,-18.2,0.09,13.87,11.09,3.2,"",NA,"11/12/24","Lindsey","Atlantic Bumper","EO1",24-08-12,"90.4","210","165","181","Y","Y","","Y","Y","Y","August","Summer","August-24","East","Out","inshore","East.Out"
"ATB007","250410_BOEM_1b","B6",0.77,0.35,44.98,-19.06,0.11,13.92,11.45,3.23,"",NA,"11/15/24","Dannette","Atlantic Bumper","EO1",24-08-12,"40.3","157","129","145","Y","Y","","Y","Y","Y","August","Summer","August-24","East","Out","inshore","East.Out"
"ATB008","250410_BOEM_1b","B7",0.63,0.29,45.11,-18.62,0.09,14.1,11.64,3.2,"",NA,"11/15/24","Dannette","Atlantic Bumper","WO3",24-08-13,"34","152","128","138","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB009","250421_BOEM_ATB-STA","B9",1.01,0.45,44.83,-19.63,0.14,13.83,11.53,3.24,"",NA,"11/15/24","EG","Atlantic Bumper","WO3",24-08-13,"40.8","160","124","138","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB010","250421_BOEM_ATB-STA","C1",1,0.46,45.35,-19.03,0.14,13.95,11.34,3.25,"",NA,"11/15/24","Dannette","Atlantic Bumper","WO3",24-08-13,"42.2","168","130","144","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB011","250421_BOEM_ATB-STA","C2",1.02,0.45,44.63,-19.05,0.14,13.89,11.41,3.21,"",NA,"11/15/24","Dannette","Atlantic Bumper","WO3",24-08-13,"38.5","160","130","140","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB012","250421_BOEM_ATB-STA","C3",1.03,0.44,43.15,-19.19,0.14,13.39,11.17,3.22,"",NA,"11/15/24","EG","Atlantic Bumper","WO3",24-08-13,"38.7","165","133","141","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB013","250421_BOEM_ATB-STA","C4",1,0.46,45.46,-19.07,0.14,14.15,11.12,3.21,"",NA,"11/15/24","Dannette","Atlantic Bumper","WO3",24-08-13,"37.7","162","124","140","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
