tray,fish.id,tray.position,sample.mass.mg,c.content.mg,c.content.perc,d13C,n.content.mg,n.content.perc,d15N,c.n,duplicate,
250327_BOEM_2,MOF001,C10,1,0.45,45.52,-18.06,0.14,14.36,8.46,3.17,,
250327_BOEM_2,MOF002,C11,1.03,0.47,45.62,-18.46,0.14,13.92,10.95,3.28,,
250327_BOEM_2,MOF003,C12,1.05,0.46,44.48,-18.14,0.14,13.68,10.04,3.25,,
250327_BOEM_2,MOF004,D1,0.99,0.45,45.29,-18.76,0.14,13.93,10.17,3.25,,
250327_BOEM_2,MOF005,D5,1.03,0.47,45.67,-18.35,0.14,13.62,9.79,3.35,,
250327_BOEM_2,MOF006,D6,1.03,0.47,45.69,-18.97,0.14,13.86,9.48,3.3,,
250327_BOEM_2,MOF007,D7,1.04,0.48,46.32,-18.33,0.15,14.3,10.62,3.24,,
250327_BOEM_2,MOF008,D8,1,0.46,46.52,-18.3,0.14,14.42,9.48,3.23,,
250327_BOEM_2,MOF009,D9,0.98,0.45,46.27,-18.89,0.14,14.31,9.81,3.23,Y,
250327_BOEM_2,SPO001,A9,0.97,0.44,45.62,-16.73,0.14,14.45,7.77,3.16,Y,
250327_BOEM_2,SPO002,A11,0.95,0.43,45.15,-17.63,0.14,14.35,7.35,3.15,,
250327_BOEM_2,SPO003,A12,0.99,0.45,45.45,-20.28,0.14,14.55,8.67,3.12,,
250327_BOEM_2,SPO004,B1,1.01,0.45,45.22,-18.47,0.14,14.27,8.29,3.17,,
250327_BOEM_2,SPO005,B2,1.01,0.45,44.51,-17.09,0.14,14.11,9.12,3.15,,
250327_BOEM_2,SPO006,B5,0.99,0.45,45.15,-17.26,0.14,14.27,10.85,3.16,,
250327_BOEM_2,SPO007,B6,0.96,0.44,45.89,-22.34,0.14,14.55,8.46,3.15,,
250327_BOEM_2,SPO008,B7,1.04,0.47,45.07,-18.75,0.15,14.28,9.31,3.16,,
250327_BOEM_2,THH001,B8,1.03,0.45,44.03,-17.32,0.14,13.94,6.82,3.16,,
250327_BOEM_2,THH002,B9,1.04,0.48,46.1,-18.31,0.15,13.99,7.17,3.29,,
250327_BOEM_2,THH003,C1,1.09,0.49,45.41,-20.26,0.16,14.57,6.87,3.12,,
250327_BOEM_2,THH004,C2,1.04,0.47,45.43,-18.82,0.15,14.61,6.83,3.11,,
250327_BOEM_2,THH005,C3,0.98,0.46,46.77,-18.75,0.14,14.02,7.9,3.34,,
250327_BOEM_2,THH006,C4,0.94,0.44,46.44,-16.78,0.14,14.61,7.59,3.18,,
250327_BOEM_2,THH007,C5,0.95,0.44,46.38,-18.8,0.14,14.8,6.92,3.13,,
250327_BOEM_2,THH008,C6,1.07,0.5,46.23,-19.06,0.16,14.71,5.79,3.14,,
250327_BOEM_2,THH009,C9,0.94,0.43,45.43,-19.86,0.14,14.55,6.65,3.12,,
250327_BOEM_3,LIZ001,C10,1.06,0.49,46,-19.06,0.16,14.92,8.21,3.08,,
250327_BOEM_3,LIZ002,C11,1.08,0.5,46.31,-18.92,0.16,15.08,9.59,3.07,,
250327_BOEM_3,LIZ003,C12,1.04,0.48,46.21,-18.65,0.16,15.14,6.3,3.05,,
250327_BOEM_3,LIZ004,D1,1.04,0.48,46.1,-18.36,0.16,15.01,7.95,3.07,,
250327_BOEM_3,LIZ005,D5,1.14,0.52,45.66,-19.14,0.17,14.8,8.17,3.08,,
250327_BOEM_3,LIZ006,D6,0.99,0.44,44.43,-18.43,0.14,14.43,7.82,3.08,,
250327_BOEM_3,LIZ007,D7,1.11,0.51,46.09,-18.91,0.17,14.9,8.05,3.09,,
250327_BOEM_3,LIZ008,D8,1.11,0.51,45.98,-18.9,0.16,14.83,8.16,3.1,,
250327_BOEM_3,LIZ009,D9,1.08,0.49,45.5,-18.67,0.16,14.67,8.01,3.1,,
250327_BOEM_3,PIG001,A9,1.06,0.48,45.41,-18.55,0.16,14.72,7.23,3.09,,
250327_BOEM_3,PIG002,A11,1.06,0.47,44.6,-18.27,0.15,14.36,7.43,3.11,,
250327_BOEM_3,PIG003,A12,0.98,0.45,45.84,-18.11,0.14,14.73,7.17,3.11,,
250327_BOEM_3,PIG004,B1,0.98,0.45,46.62,-17.72,0.15,14.91,8.62,3.13,,
250327_BOEM_3,PIG005,B2,1.08,0.51,47.16,-18.49,0.15,14.11,10.68,3.34,,
250327_BOEM_3,PIG006,B5,1.03,0.47,45.52,-19.03,0.15,14.77,9.1,3.08,,
250327_BOEM_3,PIG007,B6,1.13,0.51,45.35,-18.04,0.17,14.76,8.34,3.07,,
250327_BOEM_3,PIG008,B7,0.99,0.44,45.04,-17.11,0.14,14.4,6.66,3.13,,
250327_BOEM_3,WEF001,B8,1.11,0.51,45.86,-18.86,0.16,14.67,8.19,3.13,,
250327_BOEM_3,WEF002,B9,1.12,0.51,46.12,-18.39,0.17,14.81,8.88,3.11,,
250327_BOEM_3,WEF003,C1,1.06,0.49,46.29,-18.87,0.16,14.9,8.4,3.11,,
250327_BOEM_3,WEF004,C2,1.07,0.5,46.57,-18.85,0.15,14.3,10.42,3.26,,
250327_BOEM_3,WEF005,C3,1.01,0.47,46.3,-18.76,0.15,14.85,8.92,3.12,,
250327_BOEM_3,WEF006,C4,1.1,0.51,46.33,-18.84,0.16,14.86,10.44,3.12,,
250327_BOEM_3,WEF007,C5,1.08,0.5,46.54,-18.32,0.16,15.01,8.23,3.1,,
250327_BOEM_3,WEF008,C6,1.1,0.51,46.21,-18.77,0.16,14.65,9,3.15,,
250327_BOEM_3,WEF009,C9,1.09,0.5,46.05,-18.5,0.16,14.76,9.71,3.12,,
250404_BOEM_Spot_1,SPO009,A9,1.05,0.48,45.88,-19.64,0.15,14.2,11.06,3.23,Y,
